Symbol,Shares,AverageCost,LastPrice,CostBasis,CurrentValue,Return
GOOGL,100.0,1276.6,1276.6,127659.99999999999,127659.99999999999,0.0
AAPL,200.0,282.97,282.97,56594.00000000001,56594.00000000001,0.0
USDCASH,693357.0,1.0,1.0,693357.0,693357.0,0.0
AMZN,50.0,2410.22,2410.22,120510.99999999999,120510.99999999999,0.0
GE,300.0,6.26,6.26,1878.0,1878.0,0.0
